object_id,period,dimensions,classification,curatorial_description,num_images,all_image_urls,map_url
42185,Tang dynasty (618–907),H. 2 3/8 in. (6 cm),Metalwork,"Cup with ring handle Tang dynasty (618–907) 8th century China Gilt bronze H. 2 3/8 in. (6 cm) Metalwork Gift of John M. Crawford Jr., in memory of...",0,,
41927,Qing dynasty (1644–1911),H. 1 5/16 in. (3.4 cm); W. 1 15/16 (5 cm); L. 1 5/16 in. (3.4 cm),Jade,Ram Qing dynasty (1644–1911) late 18th–early 19th century China Jade (nephrite) H. 1 5/16 in. (3.4 cm); W. 1 15/16 (5 cm); L. 1 5/16 in. (3.4 cm) Jade...,0,,
42188,Qing dynasty (1644–1911),H. 7 11/16 in. (19.5 cm); W. 6 3/4 in. (17.2 cm); D. 2 11/16 in. (6.8 cm),Jade,"A luohan, (arhat, in Sanskrit) is a Buddhist sage who has achieved enlightenment. Groups of sixteen, eighteen, and five-hundred luohans were worshipped...",0,,
42189,Tang dynasty (618–907),H. 29 in. (73.7 cm); W. 32 in. (81.3 cm); D. 12 in. (30.5 cm),Tomb Pottery,Horse Tang dynasty (618–907) late 7th–first half of the 8th century China Earthenware with three-color (sancai) glaze and pigment H. 29 in. (73.7 cm);...,0,,
42190,"Ming dynasty (1368–1644), Wanli mark and period (1573–1620)",H. 25 1/8 in. (63.8 cm); Diam. 13 1/2 in. (34.3 cm); Diam. of rim 3 1/8 in. (7.9 cm); Diam. of base 8 in. (20.3 cm),Ceramics,"Vase in Meiping Shape with Phoenix Ming dynasty (1368–1644), Wanli mark and period (1573–1620) late 16th–early 17th century China Porcelain painted with...",0,,
42191,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",H. (at finial) 40 1/2 in. (102.9 cm); Dian. 18 1/2 in. (47 cm),Ceramics,Men were traded for vases in a Europe obsessed with porcelain and power. Vessels this large were rarely made for the domestic market during the Qing...,0,,
42195,"Ming dynasty (1368–1644), Wanli period (1573–1620)",H. 4 3/4 in. (12 cm); W. at handles 7 7/8 in. (20 cm); Diam. 6 in. (15.2 cm),Ceramics,"This type of bowl, with a thin body and a highly schematized representation of a port town painted in vivid underglaze blue, is a standard example of...",0,,
42200,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",H. 8 in. (20.3 cm),Ceramics,The Chinese term for butterfly (hudie) is also a rebus for the accumulation of blessings.,0,,
42201,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",H. 9 7/8 in. (25.1 cm),Ceramics,"Vase with Scholars in Landscape Qing dynasty (1644–1911), Kangxi period (1662–1722) late 17th century China Porcelain painted with cobalt blue under...",0,,
42202,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",H. 5 1/2 in. (14 cm),Ceramics,"Bottle with Dragon Chasing Pearl Qing dynasty (1644–1911), Kangxi period (1662–1722) late 17th–early 18th century China Porcelain painted with cobalt...",0,,
42203,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",H. 30 in. (76.2 cm),Ceramics,"Vase with Flowers and Scholar’s Implements Qing dynasty (1644–1911), Kangxi period (1662–1722) early 18th century China Porcelain covered with powdered...",0,,
42204,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",H. 18 in. (45.7 cm),Ceramics,"Vase with Flowering Plants and Birds Qing dynasty (1644–1911), Kangxi period (1662–1722) late 17th–early 18th century China Porcelain painted with...",0,,
42205,"Qing dynasty (1644–1911), Qianlong period (1736–95)",H. 18 3/4 in. (47.6 cm),Ceramics,"This vase, its mate, and the large jar with the same decoration were most likely made for use in a European home, where they would have been displayed...",0,,
42206,"Qing dynasty (1644–1911), Qianlong period (1736–95)",H. 18 3/4 in. (47.6 cm),Ceramics,"Vase with Basket of Auspicious Flowers Qing dynasty (1644–1911), Qianlong period (1736–95) 18th century China Porcelain painted with colored enamels...",0,,
42207,"Qing dynasty (1644–1911), Qianlong period (1736–95)",H. 24 in. (61 cm),Ceramics,"In some of the porcelain on view, the color green predominates in the painted decoration. In others, such as this jar, it is shades of pink that...",0,,
42208,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",H. 5 1/4 in. (13.3 cm),Ceramics,"Vase Qing dynasty (1644–1911), Kangxi period (1662–1722) late 17th–early 18th century China Porcelain with black glaze (Jingdezhen ware) H. 5 1/4 in....",0,,
42209,Qing dynasty (1644–1911),H. 7 1/2 in. (19.1 cm),Ceramics,"In the eighteenth century, the kilns at Jingdezhen began using another material for the production of porcelains. Known as huashi, or “slippery stone,”...",0,,
42210,"Ming dynasty (1368–1644), Wanli period (1573–1620)",H. 7 3/8 in. (18.7 cm); W. 5 1/2 in. (14 cm),Ceramics,"New York. The Metropolitan Museum of Art. &quot;Blue &amp; White: Early Japanese Export Ware,&quot; November 23, 1976–September 6, 1977.Smart Museum of Art, University of Chicago. &quot;Blue and White: Chinese Porcelain and Its Impace on the Western World,&quot; October 3, 1985–December 1, 1985",0,,
42212,"Qing dynasty, late Kangxi (1662–1722)–Yongzheng (1723–35) period",H. 6 3/4 in. (17.1 cm),Ceramics,"Carried by Daoist Immortals, the calabash gourd that inspired this bottle is said to serve as a special container for the liquor of immortality. Ceramic...",0,,
42215,"Qing dynasty (1644–1911), Qianlong mark and period (1736–95)",H. 8 in. (20.3 cm),Ceramics,"The shape, the two stylized elephant’s heads supporting the rings at the sides, and the decoration carved into the surface allude to the forms and...",0,,
42216,Qing dynasty (1644–1911),H. 6 in. (15.2 cm),Ceramics,"Vase Qing dynasty (1644–1911) 18th century China Porcelain with blue glaze (Jingdezhen ware) H. 6 in. (15.2 cm) Ceramics Bequest of Benjamin Altman,...",0,,
42219,Edo period (1615–1868),H. 2 in. (5.1 cm); Gr. W. 10 7/8 in. (27.6 cm),Ceramics,Fan-Shaped Dish Edo period (1615–1868) early 18th century Japan Porcelain painted with cobalt blue under and colored enamels over transparent glaze...,0,,
42221,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",H. 19 1/4 in. (48.9 cm); W. 5 3/4 in. (14.6 cm); D. 5 3/4 in. (14.6 cm); Diam. of rim 4 1/2 in. (11.4 cm),Ceramics,"Seasonal references abound in Chinese art, and the four different scenes featuring flowers and birds painted here allude to the passing of time and...",0,,
42222,Qing dynasty (1644–1911),H. 27 in. (68.6 cm),Ceramics,The phrase “on the biscuit” is commonly used to indicate that enamels were painted directly onto the clay body of the vase rather than on a transparent...,0,,
42223,Qing dynasty (1644–1911),H. 28 in. (71.1 cm),Ceramics,Recent studies have suggested that large vases with black backgrounds such as this were produced in the late nineteenth century to meet rising demand...,0,,
42226,Qing dynasty (1644–1911),H. 7 1/8 in. (18.1 cm),Ceramics,"Celadon, or green-glazed, ceramics were made throughout China from the tenth to the fourteenth century, and were used both domestically and for trade....",0,,
42227,"Qing dynasty (1644–1911), Kangxi mark and period (1662–1722)",H. 3 1/2 in. (8.9 cm); Diam. 5 in. (12.7 cm),Ceramics,"Water Jar Qing dynasty (1644–1911), Kangxi mark and period (1662–1722) 1678–88 China Porcelain with incised decoration under peachbloom glaze...",0,,
42228,Qing dynasty (1644–1911),H. 7 1/4 in. (18.4 cm),Ceramics,Vase in Meiping Shape Qing dynasty (1644–1911) 19th century China Porcelain with crackled apple-green glaze (Jingdezhen ware) H. 7 1/4 in. (18.4 cm)...,0,,
42229,"Qing dynasty (1644–1911), Kangxi mark and period (1662–1722)",H. 7 3/4 in. (19.7 cm),Ceramics,"Lush pinkish-red glazes, such as the “peach bloom” on this small vase, were first produced in the third quarter of the seventeenth century. Small vases...",0,,
42230,"Qing dynasty (1644–1911), Kangxi mark and period (1662–1722)",Diam. 4 3/4 in. (12.1 cm),Ceramics,The brush washer is dated to the early years of the reign of the Kangxi emperor based on an analysis of the style of the handwriting used for the...,0,,
42232,"Qing dynasty (1644–1911), Kangxi mark and period (1662–1722)",H. 8 1/4 in. (21 cm),Ceramics,"Vase Qing dynasty (1644–1911), Kangxi mark and period (1662–1722) 1678–88 China Porcelain with peach-bloom glaze (Jingdezhen ware); Tiffany stand H. 8...",0,,
42234,Qing dynasty (1644–1911),H. 6 3/4 in. (17.1 cm),Ceramics,Vase in Meiping Shape Qing dynasty (1644–1911) late 18th–early 19th century China Porcelain with coral-red glaze (Jingdezhen ware) H. 6 3/4 in. (17.1...,0,,
42237,Qing dynasty (1644–1911),H. 5 1/2 in. (14 cm),Ceramics,Vase Qing dynasty (1644–1911) 19th century China Porcelain with coral red glaze (Jingdezhen ware) H. 5 1/2 in. (14 cm) Ceramics Bequest of Benjamin...,0,,
42239,Qing dynasty (1644–1911),H. 21 in. (53.3 cm),Ceramics,Cataloguing of porcelains with a yellow background remains problematic. Although vases such as this have traditionally been dated to the eighteenth...,0,,
42240,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",H. 21 1/8 in. (53.7 cm),Ceramics,"Vase in Form of Archaic Bronze Qing dynasty (1644–1911), Kangxi period (1662–1722) late 18th–19th century China Porcelain painted with colored enamels...",0,,
42241,"Qing dynasty (1644–1911), Yongzheng period (1723–35)",H. 7 1/2 in. (19.1 cm),Ceramics,"Vase in Shape of Double Gourd Qing dynasty (1644–1911), Yongzheng period (1723–35) early 18th century China Porcelain with yellow glaze (Jingdezhen...",0,,
42243,"Qing dynasty (1644–1911), Qianlong mark and period (1736–95)",H. 11 in. (27.9 cm),Ceramics,"Vase with Cranes, Clouds, and Waves Qing dynasty (1644–1911), Qianlong mark and period (1736–95) late 18th century China Porcelain with incised...",0,,
42245,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",H. 6 in. (15.2 cm),Ceramics,"Vase Qing dynasty (1644–1911), Kangxi period (1662–1722) 1678–88 China Porcelain with moonlight glaze (Jingdezhen ware); Tiffany stand H. 6 in. (15.2...",0,,
42246,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",H. 8 1/4 in. (21 cm),Ceramics,"Vase Qing dynasty (1644–1911), Kangxi period (1662–1722) 1678–88 China Porcelain with celadon glaze (Jingdezhen ware) H. 8 1/4 in. (21 cm) Ceramics...",0,,
42247,"Qing dynasty (1644–1911), Kangxi mark and period (1622–1722)",H. 3 in. (7.6 cm); Diam. 3 1/8 in. (7.9 cm),Ceramics,"Water Jar with Swirling Clouds Qing dynasty (1644–1911), Kangxi mark and period (1622–1722) 1713–22 China Porcelain with incised decoration under...",0,,
42248,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",H. 7 in. (17.8 cm),Ceramics,"Vase in Meiping Shape Qing dynasty (1644–1911), Kangxi period (1662–1722) late 17th–early 18th century China Porcelain with ox-blood glaze (Jingdezhen...",0,,
42249,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",H. 10 in. (25.4 cm),Ceramics,"Vase Qing dynasty (1644–1911), Kangxi period (1662–1722) late 17th–early 18th century China Porcelain with ox-blood glaze (Jingdezhen ware) H. 10 in....",0,,
42250,"Qing dynasty (1644–1911), Qianlong period (1736–95)",H. 14 in. (35.6 cm),Ceramics,"Vase with Flowers Qing dynasty (1644–1911), Qianlong period (1736–95) mid-18th century China Porcelain painted with colored enamels over transparent...",0,,
42252,"Qing dynasty (1644–1911), Yongzheng mark and period (1723–35)",H. 4 in. (10.2 cm); Diam. 7 1/2 in. (19.1 cm),Ceramics,"Bowl Qing dynasty (1644–1911), Yongzheng mark and period (1723–35) early 18th century China Porcelain with rose-enameled glaze (Jingdezhen ware) H. 4...",0,,
42254,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",H. 18 in. (45.7 cm); Diam. 19 in. (48.3 cm); Diam. of foot 5 1/2 in. (14 cm),Ceramics,"Jar with Landscape Scenes Qing dynasty (1644–1911), Kangxi period (1662–1722) late 17th–early 18th century China Porcelain covered with powdered blue...",0,,
42004,Qing dynasty (1644–1911),H. 10 13/16 in. (27.4 cm); W. 8 1/16 in. (20.5 cm); D. 2 3/8 in. (6 cm),Jade,Vase in the shape of a pilgrim flask Qing dynasty (1644–1911) 18th century China Jade (nephrite) H. 10 13/16 in. (27.4 cm); W. 8 1/16 in. (20.5 cm); D....,0,,
42006,Qing dynasty (1644–1911),H. 12 3/8 in. (31.5 cm); W. 7 1/16 in. (18 cm); D. 4 in. (10.2 cm),Jade,Covered Vase Qing dynasty (1644–1911) 18th century China Jade (nephrite) H. 12 3/8 in. (31.5 cm); W. 7 1/16 in. (18 cm); D. 4 in. (10.2 cm) Jade Gift of...,0,,
42258,"Qing dynasty (1644–1911), Kangxi mark and period (1662–1722)",H. 3 5/8 in. (9.2 cm); Diam. 22 1/8 in. (56.2 cm); Diam. of foot 13 in. (33 cm),Ceramics,"Plate with Basket of Auspicious Flowers Qing dynasty (1644–1911), Kangxi mark and period (1662–1722) late 17th–early 18th century China Porcelain...",0,,
42011,Southern Song (1127–1279) or Yuan (1271–1368) dynasty,H. 8 1/4 × Diam. 4 1/4 in. | Diam. of rim: 1 3/4 in. | Diam of foot: 2 5/8 in.,Ceramics,Bottle with cloud scrolls Southern Song (1127–1279) or Yuan (1271–1368) dynasty 13th–14th century China Stoneware with painted decoration on brown glaze...,0,,
42012,Ming dynasty (1368–1644),H. 2 in. (5.1 cm); W. 1 1/8 in. (2.9 cm),Ivories,"Inscription: Six-character mantra engraved on base in Vartu, which is an ancient Indian script adapted from cursive Sanskrit by Tibetan monks for ritual use from the 11th century onwards",0,,
42015,Qing dynasty (1644–1911),W. 2 /38 in. (6 cm); L. 11 in. (27.9 cm); D. 1 5/8 in. (4.1 cm),Ivories,"Used as a display item, this scepter takes the shape of a fungus known as a ruyi, a rebus for &quot;as your wish.&quot;",0,,
42302,"Qing dynasty (1644–1911), Yongzheng period (1723–35)",Diam. 6 1/8 in. (15.6 cm),Ceramics,"Reviving a technique that was pioneered in the fifteenth century, the artists who decorated this dish used overglaze enamels to fill in the underglaze...",0,,
42056,"Qing dynasty (1644–1911), Qianlong period (1736–95)",H. 2 11/16 in. (6.9 cm); Diam. 5 5/8 in. (14.3 cm),Jade,"Alms bowl for a Buddhist monk Qing dynasty (1644–1911), Qianlong period (1736–95) China Jade (nephrite) H. 2 11/16 in. (6.9 cm); Diam. 5 5/8 in. (14.3...",0,,
42059,Qing dynasty (1644–1911),H. 10 9/16 in. (26.8 cm); W. 17 15/16 in. (45.6 cm); D. 5 5/16 in. (13.5 cm),Jade,"This impressive jade sculpture represents a Daoist paradise where immortals, cranes, and deer move through a mountainous landscape punctuated by pines,...",0,,
42079,Qing dynasty (1644–1911),H. 1 7/8 in. (4.8 cm); W. 2 3/4 in. (7 cm); L. 3 1/4 in. (8.3 cm),Jade,Box in the shape of a peach Qing dynasty (1644–1911) 18th century China Jade (nephrite) H. 1 7/8 in. (4.8 cm); W. 2 3/4 in. (7 cm); L. 3 1/4 in. (8.3...,0,,
42084,Qing dynasty (1644–1911),H. 5 3/4 in. (14.6 cm); Diam. 6 in. (15.2 cm),Jade,Brush pot with Daoist paradise Qing dynasty (1644–1911) 18th century China Jade (nephrite) H. 5 3/4 in. (14.6 cm); Diam. 6 in. (15.2 cm) Jade Gift of...,0,,
42088,Ming dynasty (1368–1644),H. 8 1/4 in. (21 cm); W. 4 1/16 in. (10.3 cm); H. incl. base 9 7/8 (25.1 cm),Ivories,"As one of the personified stars, Shouxing is associated with the South Pole in Chinese astronomy and is believed to control the human life span....",0,,
42096,Qing dynasty (1644–1911),H. 3 3/4 in. (9.5 cm); W. 8 in. (20.3 cm); L. 5 9/16 in. (14.2 cm),Jade,"The marriage cup, which derives its name from the shape of two joined rhombuses, signifies the ideal union of two individuals. On one side of the cup...",0,,
42100,Qing dynasty (1644–1911),H. 1 9/16 in. (4 cm); Diam. 6 7/16 in. (16.4 cm),Jade,Dish in the shape of a chrysanthemum flower (one of two) Qing dynasty (1644–1911) 19th century China Jade (nephrite) H. 1 9/16 in. (4 cm); Diam. 6 7/16...,0,,
42102,Qing dynasty (1644–1911),Overall (each approx.): H. 2 1/4 in. (5.7 cm); W. 1 3/4 in. (4.4 cm),Jade,"The twelve animals of the Chinese zodiac are popular decorative motifs that appear in various media. This set, made of flawless pale green jade, would...",0,,
42121,Qing dynasty (1644–1911),H. 6 in. (15.2 cm),Horn,The gateway at the base of the cup is most likely part of a private estate or large garden set in a remote but beautiful location. The branches and...,0,,
41083,"Qing dynasty (1644–1911), Yongzheng mark and period (1723–35)",H. 3 3/8 in. (8.6 cm); Diam. 1 5/8 in. (4.1 cm),Snuff Bottles,This mallet-shaped bottle once held the tongs and spatula used in traditional Chinese incense ceremonies. Successfully mimicking realgar (a mineral used...,0,,
41321,"Qing dynasty (1644–1911), Daoguang mark and period (1821–50)",H. 3 3/4 in. (9.5 cm),Snuff Bottles,"Snuff bottle with boys at play Qing dynasty (1644–1911), Daoguang mark and period (1821–50) China Porcelain painted with underglaze cobalt blue and...",0,,
41333,"Qing dynasty (1644–1911), Qianlong period (1736–95)",H. 2 1/16 in. (5.2 cm),Snuff Bottles,The eighteenth century witnessed numerous exciting innovations in Chinese ceramics. Artists produced molded or carved porcelain snuff bottles that...,0,,
41145,Qing dynasty (1644–1911),H. 2 7/8 in. (7.3 cm); W. 2 1/4 in. (5.7 cm); D. 1 1/4 in. (3.2 cm),Snuff Bottles,"The ingenious use of different colors or flaws in the stone is a technique known as &quot;smart colors,&quot; which can produce unexpected spectacles in the hands...",0,,
41514,Qing dynasty (1644–1911),H. 2 3/4 in. (7 cm); H. incl. stand 3 3/8 in. (8.6 cm); W. 1 1/4 in. (3.2 cm); D. 3/4 in. (1.9 cm),Snuff Bottles,Snuff bottle with design of coins Qing dynasty (1644–1911) 19th century China Glass H. 2 3/4 in. (7 cm); H. incl. stand 3 3/8 in. (8.6 cm); W. 1 1/4 in....,0,,
41529,Qing dynasty (1644–1911),H. 2 3/8 in. (6 cm),Snuff Bottles,Snuff bottle with fish Qing dynasty (1644–1911) late 18th–early 19th century China Overlay glass with ivory-and-glass stopper H. 2 3/8 in. (6 cm) Snuff...,0,,
41531,"Qing dynasty (1644–1911), Qianlong period (1736–95)",H. 2 1/2 in. (6.4 cm); H. incl. stand 3 in. (7.6 cm); W. 1 1/2 in. (3.8 cm); D. 1 in. (2.5 cm),Snuff Bottles,"Snuff bottle with boy flying a bird Qing dynasty (1644–1911), Qianlong period (1736–95) China Coral H. 2 1/2 in. (6.4 cm); H. incl. stand 3 in. (7.6...",0,,
41554,Qing dynasty (1644–1911),H. 2 7/8 in. (7.3 cm),Snuff Bottles,"Snuff bottle with landscape and horses Qing dynasty (1644–1911) late 19th century China Glass painted inside, amethyst stopper H. 2 7/8 in. (7.3 cm)...",0,,
41874,Late Ming (1368–1644)–early Qing (1644–1911) dynasty,H. 3 in. (7.6 cm),Horn,"Sometimes symbolic of autumn, grapes and grapevines also represent abundance, both in the sense of material wealth and multiple children. Often...",0,,
41877,Ming dynasty (1368–1644),H. 4 in. (10.2 cm); H. incl. base 5 3/4 in. (14.6 cm),Horn,"Once grown exclusively for the imperial family, magnolias are sometimes understood as allusions to beautiful women.",0,,
41880,Qing dynasty (1644–1911),H. 4 in. (10.2 cm),Horn,The jutting lip of this cup derives from the shape of a ritual bronze vessel created during China’s Bronze Age. Some of the linear interlocked...,0,,
41882,"Qing dynasty (1644–1911), Qianlong period (1736–95)",H. 4 in. (10.2 cm); H. incl. base 7 3/8 in. (18.7 cm),Horn,"Huddled beneath a cliff, a famous poet (Tao Yuanming, 365–427), a Daoist priest (Lu Xiujing, 406–477), and a Buddhist monk (Huiyuan, 334–416) burst into...",0,,
41888,Qing dynasty (1644–1911),H. incl. base 11 in. (27.9 cm); W. 5 3/4 in. (14.6 cm); Diam. 6 5/8 in. (16.8 cm) | ,Horn,"The rhinoceros was once widespread in China, but by the first century A.D. it had become an exotic species whose skin was sought after to make armor and...",0,,
41897,Qing dynasty (1644–1911),H. inc. base 3 1/2 in. (8.9 cm); W. 2 3/4 in. (7 cm); D. 1 1/2 in. (3.8 cm),Horn,Two boys each holding a lotus or a leaf in one hand and a box in the other are popular images symbolic of harmony and union. Known as the Two Immortals...,0,,
41649,Qing dynasty (1644–1911),H. 2 3/4 in. (7 cm),Snuff Bottles,Snuff bottle in the shape of a hot pepper Qing dynasty (1644–1911) late 18th–19th century China Porcelain painted with red enamel (Jingdezhen ware) and...,0,,
41911,Qing dynasty (1644–1911),H. 1 1/4 in. (3.1 cm); W. 4 15/16 in. (12.6 cm); L. 3 1/8 in. (8 cm),Jade,Crab Qing dynasty (1644–1911) 18th century China Jade (nephrite) H. 1 1/4 in. (3.1 cm); W. 4 15/16 in. (12.6 cm); L. 3 1/8 in. (8 cm) Jade Gift of Heber...,0,,
41912,Yuan (1271–1368)–Ming (1368–1644) dynasty,H. 1 5/8 in. (4.2 cm); W. 2 1/2 in. (6.4 cm); L. 1 1/2 in. (3.8 cm),Jade,Headdress ornament Yuan (1271–1368)–Ming (1368–1644) dynasty 14th–16th century China Jade (nephrite) H. 1 5/8 in. (4.2 cm); W. 2 1/2 in. (6.4 cm); L. 1...,0,,
41913,Yuan dynasty (1271–1368),H. 2 3/16 in. (5.6 cm); W. 1 3/4 in. (4.5 cm),Jade,Headdress ornament Yuan dynasty (1271–1368) 13th century China Jade (nephrite) H. 2 3/16 in. (5.6 cm); W. 1 3/4 in. (4.5 cm) Jade Gift of Heber R....,0,,
41914,Qing dynasty (1644–1911),H. 1 9/16 in. (4 cm); W. 3 9/16 in. (9.1 cm); L. 1 15/16 in. (5 cm),Jade,Mythical animal Qing dynasty (1644–1911) 18th century China Jade (nephrite) H. 1 9/16 in. (4 cm); W. 3 9/16 in. (9.1 cm); L. 1 15/16 in. (5 cm) Jade...,0,,
41915,Qing dynasty (1644–1911),H. 5 11/16 in. (14.5 cm); W. 3 3/4 in. (9.6 cm); L. 1 5/16 in. (3.4 cm),Jade,Fantastic creature supporting a vase Qing dynasty (1644–1911) 18th century China Jade (nephrite) H. 5 11/16 in. (14.5 cm); W. 3 3/4 in. (9.6 cm); L. 1...,0,,
41916,Qing dynasty (1644–1911),H. 4 3/4 in. (12.1 cm); W. 4 in. (10.2 cm); L. 8 3/4 in. (22.2 cm),Jade,"Jadeite was introduced into China from Myanmar, probably in the seventeenth century, and became a favored material at the eighteenth-century Qing court...",0,,
41918,Qing dynasty (1644–1911),H. 5 3/16 in. (13.2 cm); W. 4 3/16 in. (10.6 cm); L. 7 5/16 in. (18.5 cm),Jade,Auspicious symbols and visual puns expressing good wishes are recurring themes in Chinese decorative art. A delightful example is this white nephrite...,0,,
42315,Qing dynasty (1644–1911),Diam. 8 in. (20.3 cm),Ceramics,Dish with bird and flowers Qing dynasty (1644–1911) ca. 1730–50 China Porcelain painted in overglaze polychrome enamels (Jingdezhen ware) Diam. 8 in....,0,,
42316,Qing dynasty (1644–1911),Diam. of rim: 7 7/8 in. (20 cm),Ceramics,The layering of designs on this dish illustrates the dense and precise decoration that typifies the art of the Qianlong period in China. A short-handled...,0,,
42318,"Qing dynasty (1644–1911), Qianlong mark and period (1736–95)",H. 1 in. (2.5 cm); Diam. 5 7/16 in. (13.8 cm),Ceramics,The creation in the late seventeenth century of a range of opaque overglaze enamel colors was one of the most important technological developments in...,0,,
42319,"Qing dynasty (1644–1911), Yongzheng mark and period (1723–35)",H. 2 1/8 in. (5.4 cm); Diam. 4 1/2 in. (11.4 cm); Diam. of foot 1 3/4 in. (4.4 cm),Ceramics,"This thin, almost translucent bowl represents the height of porcelain manufacture under the Yongzheng emperor. Possibly reflecting the use of paper...",0,,
42380,Tang dynasty (618–907),H. 2 3/4 in. (7 cm); L. 4 3/4 in. (12.1 cm),Ceramics,Rhyton in the shape of a bird Tang dynasty (618–907) 7th–8th century China Earthenware with three-color (sancai) glaze H. 2 3/4 in. (7 cm); L. 4 3/4 in....,0,,
42390,Tang dynasty (618–907),Diam. 4 1/4 in. (10.8 cm),Ceramics,"Although this porcelain bowl appears at first glance to be relatively modest, in the ninth century it was the most technically advanced ceramic in the...",0,,
42404,"Qing dynasty (1644–1911), Kangxi mark and period (1662–1722)",H. 1 3/4 in. (4.4 cm); Diam. 9 7/8 in. (25.1 cm),Ceramics,"Dish with dragons and phoenixes Qing dynasty (1644–1911), Kangxi mark and period (1662–1722) early 18th century China Porcelain painted in underglaze...",0,,
42423,"Qing dynasty (1644–1911), Kangxi mark and period (1662–1722)",H. 1 3/8 in. (3.5 cm); Diam. 2 13/16 in. (7.1 cm),Ceramics,"Box for seal paste Qing dynasty (1644–1911), Kangxi mark and period (1662–1722) 1713–22 China Porcelain with peach-bloom glaze (Jingdezhen ware) H. 1...",0,,
42433,Jin dynasty (1115–1234),L. 16 1/8 in. (41 cm); H. 6 1/8 in. (15.5 cm); D. 11 3/4 in. (29.8 cm),Ceramics,"The spring hunt and a related autumnal event were integral to the yearly cycle of the Jurchen, a nomadic people from the northeast who controlled much...",0,,
42444,Jin dynasty (1115–1234),H. 2 1/2 in. (6.4 cm); Diam. 7 1/8 in. (18.1 cm),Ceramics,Chinese potters in the north started to experiment with polychrome overglaze decoration during the late twelfth century. While objects with...,0,,
42449,Five Dynasties (907–960),H. 3 3/8 in. (8.6 cm),Ceramics,"The inscription reading xin guan, or “new official ware,” carved into the bottom of this small jar indicates that it was produced for use at one of the...",0,,
42469,Jin dynasty (1115–1234),H. 4 7/8 in. (12.4 cm); Diam. 5 5/8 in. (14.3 cm); Diam. of rim 3 7/8 in. (9.8 cm); Diam. of foot 2 3/4 in. (7 cm),Ceramics,"Jar with abstract floral design Jin dynasty (1115–1234) 12th–13th century China Stoneware painted in dark brown on white slip (Cizhou ware, probably...",0,,
42477,Yuan dynasty (1271–1368),H. 11 in. (27.9 cm),Ceramics,Bottle with Lotus Scroll Yuan dynasty (1271–1368) late 13th–early 14th century China Porcelain with incised decoration under celadon glaze (Jingdezhen...,0,,
42483,Yuan dynasty (1271–1368),H. 8 3/4 in. (22.2 cm),Ceramics,Incense Burner in Shape of Lion (one of a pair) Yuan dynasty (1271–1368) early 14th century China Porcelain with brown and raised decoration under...,0,,
42486,Southern Song (1127–1279)–Yuan (1271–1368) dynasty,H. 12 3/8 in. (31.4 cm); Diam. 7 in. (17.8 cm),Ceramics,"Known as Qingbai, literally bluish-white, this type of porcelain features a jade-like glaze surface, often with fluent carving decoration, such as...",0,,
42487,Yuan dynasty (1271–1368),Diam. 5 1/8 in. (13 cm),Ceramics,"Lee, Sherman E.,  and Wai-kam Ho. Chinese Art Under the Mongols: The Yüan Dynasty (1279–1368). Exh. cat. Cleveland, Ohio: Cleveland Museum of Art, 1968, cat. no. 123.Valenstein, Suzanne G. A Handbook of Chinese Ceramics. New York: The Metropolitan Museum of Art, 1975, pl. 71.Valenstein, Suzanne G., Julia Meech,  and Marilyn Jenkins. Oriental Ceramics: The World&#x27;s Great Collections. vol. 12, limited ed., Tokyo: Kōdansha International Ltd., 1977, pl. 61.Meech, Julia -Pekarik, Suzanne G. Valenstein,  and Marilyn Jenkins-Madina. Oriental Ceramics: The World&#x27;s Great Collections: The Metropolitan Museum of Art. vol. 11, Tokyo: Kodansha International, 1982.Suzanne G. Valenstein. A Handbook of Chinese Ceramics. New York: The Metropolitan Museum of Art, 1989, p. 131, fig. 125.",0,,
